Year,Trade Surplus,Market Competitiveness,Regional Connectivity,Single Product Value,Single Product Cost
1960,5,7,6,4,8
1961,7,5,2,8,6
1962,4,5,5,3,8
1963,8,7,5,9,8
1964,3,9,5,2,4
1965,5,7,4,9,2
1966,9,3,8,8,4
1967,6,7,6,2,8
1968,2,2,3,5,2
1969,4,3,4,9,5
1970,3,9,9,8,8
1971,2,3,6,3,7
1972,9,8,3,8,5
1973,9,4,4,6,9
1974,5,6,6,9,2
1975,5,5,9,8,5
1976,2,8,6,9,6
1977,2,2,5,9,2
1978,8,6,9,8,2
1979,9,9,7,8,3
1980,8,4,4,7,5
1981,5,3,5,7,9
1982,6,2,6,3,2
1983,10,4,6,2,8
1984,7,9,7,6,3
1985,7,3,5,2,3
1986,10,6,8,7,4
1987,6,4,2,7,7
1988,3,3,6,3,3
1989,3,5,3,3,9
1990,9,8,6,8,9
1991,3,3,6,7,8
1992,9,2,8,9,7
1993,2,5,2,2,3
1994,4,5,5,3,7
1995,7,9,5,7,5
1996,3,2,5,4,8
1997,8,8,8,7,8
1998,9,4,7,9,6
1999,5,8,4,8,9
2000,10,6,3,4,7
2001,7,4,9,8,8
2002,3,4,3,8,9
2003,6,2,5,2,8
2004,10,6,2,9,3
2005,7,8,7,6,3
2006,10,8,3,5,8
2007,9,6,5,2,7
2008,10,2,3,3,9
2009,8,6,7,9,4
2010,4,9,2,4,8
2011,8,9,7,7,7
2012,10,8,9,2,5
2013,9,5,7,9,7
2014,10,7,8,7,7
2015,4,3,3,3,8
2016,3,4,3,3,2
2017,6,8,5,6,9
2018,4,2,8,3,7
2019,7,9,2,8,7
2020,5,7,4,9,9
2021,10,9,9,9,3
2022,9,8,9,9,5
2023,6,8,9,5,9
